,index,Brain,BrainRegion,BregmanRegion,Cohort,Date,VOID_PERCENTAGE,Cfos_Counts,counts_per_area,rat_ID,group,surgery,stimulus
200,250,3,DCA3,n2.52,1,27-11-17,13.01829518418238,192.0,350.4859854637859,3,Lesion_Familiar,Lesion,Familiar
201,251,3,TE2,n6.30,1,27-11-17,9.460667542477633,236.0,413.8777300866477,3,Lesion_Familiar,Lesion,Familiar
202,252,3,PRH,n6.30,1,27-11-17,11.433422913180433,212.0,380.0697841339258,3,Lesion_Familiar,Lesion,Familiar
203,253,3,V2C,n6.30,1,27-11-17,6.056996767493937,486.0,821.4273768190692,3,Lesion_Familiar,Lesion,Familiar
204,254,4,DCA3,n2.52,1,27-11-17,20.467529630236495,604.0,1205.8403438299715,4,Sham_Familiar,Sham,Familiar
205,255,4,DCA1,n2.52,1,27-11-17,17.74782893658825,262.0,505.76790326588707,4,Sham_Familiar,Sham,Familiar
206,0,2,PRH,n6.30,4,03-05-18,16.174285870337037,284.0,537.9456769524334,18,Sham_Novel,Sham,Novel
207,1,2,TE2,n6.30,4,03-05-18,18.567596375423673,344.0,670.7466809016914,18,Sham_Novel,Sham,Novel
208,2,2,V2C,n6.30,4,03-05-18,4.403572013763665,561.0,931.7910615134967,18,Sham_Novel,Sham,Novel
209,3,2,DPC,2.70,4,04-05-18,14.009899636284278,173.0,319.4441880354559,18,Sham_Novel,Sham,Novel
210,4,2,M2C,2.70,4,04-05-18,4.241802718297928,511.0,847.309902969081,18,Sham_Novel,Sham,Novel
211,5,2,IFC,2.70,4,04-05-18,12.691497798561631,111.0,201.8662821985487,18,Sham_Novel,Sham,Novel
212,6,2,PRL,2.70,4,04-05-18,8.429731725326238,229.0,397.08029832565825,18,Sham_Novel,Sham,Novel
213,7,2,ACC,2.70,4,04-05-18,18.774578171574575,255.0,498.4774868454756,18,Sham_Novel,Sham,Novel
